,GeneNames,log2FC,p-value
355,LOC_Os03g27950.1,2.736965594,5.77e-05
356,LOC_Os10g39930.2,-2.222392421,6.05e-05
357,LOC_Os12g34094.1,-2.256339753,6.15e-05
358,LOC_Os01g68770.1,1.678071905,6.14e-05
359,LOC_Os08g02120.1,-3.169925001,6.29e-05
360,LOC_Os04g16770.1,-3.169925001,6.29e-05
361,LOC_Os05g29990.1,-1.920565533,6.44e-05
362,LOC_Os12g33958.1,-1.459431619,6.63e-05
363,LOC_Os11g06890.1,0.571156701,6.76e-05
364,LOC_Os04g48050.1,1.469485283,6.81e-05
365,LOC_Os01g70940.1,1.807354922,7e-05
366,LOC_Os07g49330.3,1.807354922,7e-05
367,LOC_Os01g40280.2,2.392317423,6.96e-05
368,LOC_Os11g17930.1,2.392317423,6.96e-05
369,LOC_Os11g01380.1,0.310642287,7.3e-05
370,LOC_Os06g06030.1,1.091147888,7.38e-05
371,LOC_Os03g41080.1,1.091147888,7.38e-05
372,LOC_Os07g25430.1,-1.26052755,7.5e-05
373,LOC_Os03g31839.1,2.058893689,7.48e-05
374,LOC_Os06g49530.1,2.058893689,7.48e-05
375,LOC_Os03g16860.1,0.974909019,7.47e-05
376,LOC_Os06g04510.2,-1.106199404,7.6e-05
377,LOC_Os03g42820.2,1.502500341,7.77e-05
378,LOC_Os02g53420.1,1.502500341,7.77e-05
379,LOC_Os01g62870.1,3.087462841,7.74e-05
380,LOC_Os07g46700.1,3.087462841,7.74e-05
381,LOC_Os01g62760.1,3.087462841,7.74e-05
382,LOC_Os05g33730.1,1.893084796,7.82e-05
383,LOC_Os02g49230.1,-3.584962501,8.08e-05
384,LOC_Os07g36470.1,0.792195115,8.3e-05
385,LOC_Os04g52640.2,-4.321928095,8.73e-05
386,LOC_Os05g32220.1,0.440572591,8.85e-05
387,LOC_Os07g47510.1,1.058893689,9.03e-05
388,LOC_Os06g19960.1,0.974004791,9.1e-05
389,LOC_Os02g25060.1,-2.402098444,9.66e-05
390,LOC_Os01g18050.1,-2.402098444,9.66e-05
391,LOC_Os06g06560.1,0.736965594,0.000100781
392,LOC_Os03g21000.1,1.178337241,0.00010191
393,LOC_Os02g02290.1,0.685126663,0.000108111
394,LOC_Os02g01280.1,0.949373927,0.00010889
395,LOC_Os07g46220.1,1.688055994,0.000108745
396,LOC_Os04g51910.1,0.903784685,0.00010869
397,LOC_Os03g21680.2,1.428843299,0.000109446
398,LOC_Os07g48450.3,3.807354922,0.000110256
399,LOC_Os01g52630.1,3.807354922,0.000110256
400,LOC_Os06g35540.1,3.807354922,0.000110256
401,LOC_Os12g07110.1,0.626541604,0.000112793
402,LOC_Os01g08410.1,1.754887502,0.000120624
403,LOC_Os06g14750.1,1.222392421,0.000121915
404,LOC_Os03g56280.1,-2.032421478,0.000125717
405,LOC_Os05g01470.1,1.459431619,0.000126959
406,LOC_Os02g02750.3,1.459431619,0.000126959
407,LOC_Os09g02214.1,0.925999419,0.000130553
408,LOC_Os09g12570.1,2.0,0.00013087
409,LOC_Os04g34450.1,2.137503524,0.000129363
410,LOC_Os07g09600.1,0.757429697,0.000132417
411,LOC_Os04g16722.1,0.404695555,0.00013526
412,LOC_Os02g58410.1,-3.523561956,0.000142827
413,LOC_Os05g42250.1,3.0,0.000153104
414,LOC_Os01g68710.3,3.0,0.000153104
415,LOC_Os12g43410.1,3.0,0.000153104
416,LOC_Os12g34330.1,3.0,0.000153104
417,LOC_Os03g52170.1,0.796466606,0.000152037
418,LOC_Os01g17240.1,0.796466606,0.000152037
419,LOC_Os07g27950.2,1.494764692,0.000151602
420,LOC_Os02g54510.3,1.494764692,0.000151602
421,LOC_Os03g59640.1,-1.239827015,0.000152838
422,LOC_Os03g61130.1,0.705256734,0.000156526
423,LOC_Os05g51500.1,0.705256734,0.000156526
424,LOC_Os02g01340.2,-0.984733243,0.000157296
425,LOC_Os06g09450.6,0.48032896,0.000161736
